Passo,ValorCentral,Tempo_false_32,Tempo_false_64,Tempo_false_128,Tempo_true_32,Tempo_true_64,Tempo_true_128,Tempo_close_32,Tempo_close_64,Tempo_close_128,Tempo_spread_32,Tempo_spread_64,Tempo_spread_128,Tempo_master_32,Tempo_master_64,Tempo_master_128
671,0.56823,0.000192,0.000305,0.000496,0.000117,0.000243,0.000977,0.000132,0.000214,0.000527,0.000148,0.000225,0.001238,0.000152,0.000291,0.000434
672,0.56762,0.000163,0.000299,0.000467,0.000127,0.000248,0.000972,0.000151,0.000218,0.000503,0.000528,0.000567,0.001013,0.000132,0.000303,0.000473
673,0.56700,0.000213,0.000426,0.000540,0.000125,0.000262,0.000791,0.000149,0.000222,0.000764,0.000186,0.000252,0.001233,0.000166,0.000250,0.000460
674,0.56639,0.000192,0.000334,0.000457,0.000126,0.000406,0.000837,0.000481,0.000227,0.000538,0.000140,0.000264,0.000614,0.000181,0.000263,0.000436
675,0.56577,0.000165,0.000337,0.000468,0.000119,0.000265,0.000883,0.000151,0.000239,0.001141,0.000117,0.000261,0.000592,0.000144,0.000255,0.000497
676,0.56516,0.000136,0.000405,0.000466,0.000140,0.000372,0.001082,0.000133,0.000241,0.001728,0.000118,0.000538,0.000588,0.000467,0.000252,0.000510
677,0.56455,0.000124,0.000444,0.000470,0.000156,0.000221,0.000821,0.000132,0.000242,0.000946,0.000120,0.000407,0.000597,0.000169,0.000240,0.000460
678,0.56394,0.000122,0.000337,0.000470,0.000139,0.000281,0.000822,0.000133,0.000277,0.000887,0.000124,0.000379,0.000548,0.000139,0.000329,0.000488
679,0.56332,0.000122,0.000538,0.000457,0.000120,0.000261,0.000757,0.000119,0.000255,0.000827,0.000115,0.000344,0.000558,0.000139,0.000216,0.000544
680,0.56271,0.000136,0.000476,0.000462,0.000109,0.000274,0.000752,0.000119,0.000339,0.000855,0.000124,0.000377,0.000602,0.000131,0.000288,0.000533
681,0.56210,0.000129,0.000614,0.000461,0.000132,0.000266,0.001357,0.000289,0.000225,0.000846,0.000131,0.000431,0.000507,0.000133,0.000311,0.000504
682,0.56150,0.000125,0.000518,0.000469,0.000119,0.000263,0.001025,0.000778,0.000223,0.000478,0.000515,0.000511,0.000506,0.000135,0.000260,0.000481
683,0.56089,0.000132,0.000482,0.000458,0.000132,0.000332,0.000844,0.000952,0.000282,0.000646,0.000134,0.000488,0.000495,0.000139,0.000259,0.000487
684,0.56028,0.000126,0.000670,0.000477,0.000109,0.000317,0.001018,0.000691,0.000224,0.000489,0.000125,0.000425,0.000504,0.000129,0.000219,0.000502
685,0.55967,0.000124,0.000408,0.000459,0.000115,0.000206,0.000926,0.000181,0.000218,0.000474,0.000122,0.000432,0.000522,0.000198,0.000225,0.000636
686,0.55907,0.000130,0.000355,0.000867,0.000136,0.000246,0.000577,0.000233,0.000230,0.000494,0.000122,0.000426,0.000799,0.000112,0.000250,0.000474
687,0.55846,0.000130,0.000538,0.000762,0.000117,0.000288,0.000973,0.000231,0.000274,0.000511,0.000128,0.000366,0.000506,0.000124,0.000243,0.001869
688,0.55786,0.000118,0.000323,0.000714,0.000113,0.000257,0.000862,0.000216,0.000221,0.000495,0.000225,0.000413,0.000569,0.000148,0.000290,0.000562
689,0.55725,0.000146,0.000351,0.000734,0.000117,0.000385,0.000802,0.000265,0.000223,0.000513,0.001501,0.000316,0.000633,0.000129,0.000240,0.000487
690,0.55665,0.000132,0.000335,0.000791,0.000130,0.000235,0.000753,0.000221,0.000225,0.000506,0.001117,0.000297,0.000638,0.000128,0.000259,0.000472
691,0.55605,0.000126,0.000319,0.000935,0.000114,0.000263,0.000756,0.000224,0.000226,0.000799,0.000357,0.000296,0.000489,0.000135,0.000253,0.000438
692,0.55545,0.000120,0.000301,0.000780,0.000118,0.000306,0.000743,0.000210,0.000230,0.000540,0.000261,0.000293,0.000464,0.000132,0.000243,0.000416
693,0.55485,0.000125,0.000342,0.000651,0.000119,0.000237,0.000706,0.000200,0.000229,0.000517,0.000234,0.000290,0.000457,0.000131,0.000248,0.000417
694,0.55425,0.000125,0.000303,0.000661,0.000116,0.000249,0.000723,0.000301,0.000385,0.000514,0.000235,0.000289,0.000454,0.000135,0.000235,0.000417
695,0.55365,0.000126,0.000305,0.000838,0.000123,0.000271,0.000863,0.000133,0.000506,0.000948,0.000232,0.000290,0.000610,0.000130,0.000245,0.000603
696,0.55305,0.000124,0.000303,0.002384,0.000113,0.000362,0.000781,0.000142,0.000460,0.000494,0.000208,0.000294,0.000463,0.000132,0.000617,0.000710
697,0.55245,0.000120,0.000303,0.000727,0.000452,0.000215,0.001010,0.000120,0.000292,0.000731,0.000136,0.000285,0.000614,0.000192,0.000239,0.000553
698,0.55185,0.000124,0.000350,0.000501,0.000136,0.000252,0.000977,0.000124,0.000286,0.000656,0.000391,0.000305,0.000512,0.000132,0.000232,0.000482
699,0.55126,0.000124,0.000381,0.000473,0.000126,0.000370,0.001040,0.000134,0.000289,0.002907,0.000134,0.000294,0.000465,0.000135,0.000265,0.000454
700,0.55066,0.000119,0.000338,0.000470,0.000130,0.000641,0.000876,0.000152,0.000246,0.000993,0.000122,0.000280,0.000482,0.000142,0.000612,0.000443
701,0.55007,0.000308,0.000358,0.000560,0.001127,0.000448,0.000849,0.000322,0.000460,0.000905,0.000313,0.000472,0.001142,0.000126,0.000611,0.000609
702,0.54947,0.000106,0.000310,0.000480,0.001219,0.000298,0.000598,0.000153,0.000310,0.000802,0.000135,0.000791,0.000762,0.000159,0.000456,0.000456
703,0.54888,0.000118,0.000306,0.000519,0.000690,0.000413,0.000988,0.000142,0.000324,0.000914,0.000133,0.000301,0.000787,0.000127,0.000422,0.000600
704,0.54829,0.000130,0.000308,0.000702,0.001047,0.000311,0.000921,0.000161,0.000252,0.000504,0.000138,0.000288,0.000890,0.000119,0.000596,0.000432
705,0.54770,0.000135,0.000307,0.000516,0.000251,0.000227,0.000991,0.000126,0.000254,0.000447,0.000165,0.000330,0.000533,0.000115,0.002130,0.000465
706,0.54710,0.000135,0.000302,0.000484,0.000321,0.000276,0.001088,0.000110,0.000382,0.000534,0.000131,0.000452,0.000551,0.000109,0.000520,0.000435
707,0.54651,0.000134,0.000302,0.000489,0.000251,0.000456,0.001344,0.000116,0.000222,0.000443,0.000142,0.000373,0.000659,0.000104,0.000319,0.000469
708,0.54592,0.000134,0.000302,0.000496,0.000351,0.000860,0.001183,0.000132,0.000212,0.000533,0.000141,0.000354,0.001382,0.000099,0.000377,0.000497
709,0.54534,0.000132,0.000299,0.000461,0.000247,0.000232,0.001009,0.000108,0.000213,0.000987,0.000155,0.000347,0.001007,0.000105,0.000758,0.001245
710,0.54475,0.000131,0.000301,0.000461,0.001169,0.000282,0.000941,0.000110,0.000210,0.000810,0.000142,0.000346,0.000699,0.000144,0.000430,0.000713
711,0.54416,0.000133,0.000303,0.001111,0.000311,0.000282,0.001061,0.000129,0.000269,0.000579,0.000123,0.000393,0.000558,0.000143,0.000447,0.000562
712,0.54357,0.000136,0.000303,0.000554,0.000435,0.000384,0.001014,0.000109,0.000216,0.000567,0.000128,0.000335,0.000441,0.000136,0.000403,0.000557
713,0.54299,0.000136,0.000300,0.000848,0.000220,0.000531,0.001264,0.000118,0.000212,0.000576,0.000140,0.000292,0.000527,0.000140,0.000342,0.000478
714,0.54240,0.000136,0.000317,0.000527,0.000113,0.000499,0.000935,0.000122,0.000870,0.000904,0.000152,0.000793,0.000535,0.000138,0.000262,0.000434
715,0.54182,0.000133,0.000346,0.000516,0.000214,0.000344,0.002020,0.000119,0.000246,0.000805,0.000150,0.000469,0.000667,0.000144,0.000280,0.000416
716,0.54123,0.000134,0.000447,0.000445,0.000293,0.000288,0.000900,0.000119,0.000276,0.000481,0.000139,0.000376,0.000479,0.000137,0.000311,0.000417
717,0.54065,0.000133,0.000278,0.000429,0.000124,0.000301,0.000867,0.000119,0.000380,0.000675,0.000136,0.000421,0.000592,0.000466,0.000309,0.000427
718,0.54007,0.000126,0.000695,0.000430,0.000195,0.000227,0.001084,0.000133,0.000276,0.000738,0.000124,0.000747,0.000816,0.000124,0.000281,0.000430
719,0.53949,0.000709,0.000559,0.000633,0.000212,0.000267,0.000876,0.000123,0.001046,0.000806,0.000136,0.000320,0.000640,0.000138,0.000249,0.000552
720,0.53891,0.000155,0.000562,0.000679,0.000182,0.000250,0.000781,0.000112,0.000286,0.001551,0.000144,0.000271,0.000483,0.000128,0.000261,0.000410
721,0.53832,0.000109,0.000545,0.001348,0.000133,0.000521,0.000820,0.000121,0.000256,0.000787,0.000179,0.000263,0.000463,0.000141,0.000260,0.000457
722,0.53775,0.000122,0.000477,0.001016,0.000169,0.000364,0.000814,0.000118,0.000331,0.000902,0.000108,0.000284,0.000446,0.000287,0.000268,0.000518
723,0.53717,0.000121,0.000491,0.000847,0.000169,0.000223,0.001095,0.000116,0.000274,0.000620,0.000133,0.000363,0.000529,0.000764,0.000405,0.000612
724,0.53659,0.000117,0.000497,0.001082,0.000165,0.000269,0.001233,0.000113,0.000258,0.000940,0.000150,0.000372,0.000444,0.000248,0.000275,0.000818
725,0.53601,0.000123,0.000487,0.000808,0.001205,0.000301,0.001412,0.000107,0.000215,0.000787,0.000121,0.000396,0.000417,0.000359,0.000224,0.000517
726,0.53543,0.000125,0.000416,0.000606,0.000161,0.000258,0.001384,0.000101,0.000232,0.000817,0.000126,0.000397,0.000426,0.000290,0.000250,0.000454
727,0.53486,0.000115,0.000399,0.000522,0.000197,0.000355,0.001530,0.000113,0.000238,0.000784,0.000142,0.000428,0.000552,0.000176,0.000251,0.000595
728,0.53428,0.000123,0.000407,0.000507,0.000162,0.000233,0.000879,0.000116,0.000260,0.001856,0.000125,0.000382,0.000488,0.000580,0.000346,0.000495
729,0.53371,0.000124,0.000525,0.001041,0.000177,0.000298,0.000814,0.000126,0.000406,0.000886,0.000166,0.000368,0.002477,0.000748,0.000282,0.000416
730,0.53314,0.000126,0.000530,0.000470,0.000186,0.000263,0.000730,0.000119,0.000392,0.000909,0.000121,0.000354,0.000756,0.000175,0.000587,0.000420
731,0.53256,0.000129,0.000359,0.000444,0.000196,0.000209,0.001024,0.000109,0.000418,0.000706,0.000113,0.000247,0.001155,0.000175,0.000491,0.000414
732,0.53199,0.000116,0.000557,0.000417,0.000269,0.000290,0.000773,0.000106,0.000255,0.000665,0.000118,0.000259,0.001134,0.000183,0.000208,0.000403
733,0.53142,0.000124,0.000434,0.000415,0.000224,0.000658,0.000740,0.000105,0.000280,0.001013,0.000136,0.000480,0.000570,0.000347,0.000224,0.000420
734,0.53085,0.000122,0.000438,0.000430,0.000519,0.000286,0.000978,0.000136,0.000406,0.000670,0.000124,0.000257,0.000560,0.000190,0.000239,0.000420
735,0.53028,0.000128,0.000440,0.000414,0.000443,0.000251,0.000823,0.000109,0.000325,0.000636,0.000122,0.000243,0.000789,0.000169,0.000239,0.000407
736,0.52971,0.000458,0.000406,0.000432,0.000559,0.000213,0.000764,0.000112,0.000493,0.001014,0.000117,0.000244,0.000477,0.000142,0.000234,0.000411
737,0.52914,0.001802,0.000686,0.000436,0.000165,0.000287,0.000752,0.000121,0.000749,0.000860,0.000113,0.000267,0.000497,0.000181,0.000236,0.000405
738,0.52857,0.000234,0.000426,0.001800,0.000190,0.000234,0.000750,0.000116,0.000325,0.000926,0.000115,0.000240,0.000619,0.000183,0.000606,0.000405
739,0.52801,0.000222,0.001861,0.000562,0.000140,0.000231,0.001123,0.000116,0.000925,0.000867,0.000555,0.000264,0.000467,0.000182,0.000309,0.000468
740,0.52744,0.000227,0.000605,0.001137,0.000132,0.000339,0.000887,0.000116,0.000430,0.000970,0.000173,0.000239,0.000480,0.000182,0.000439,0.000498
741,0.52687,0.000237,0.000656,0.000903,0.000304,0.000254,0.000747,0.000113,0.000344,0.000806,0.000148,0.000719,0.000506,0.000201,0.000515,0.001959
742,0.52631,0.000250,0.000426,0.000606,0.000133,0.000241,0.000837,0.000109,0.000299,0.000737,0.000221,0.000337,0.000486,0.000179,0.000445,0.000948
743,0.52574,0.000178,0.000326,0.000999,0.000136,0.000213,0.000788,0.000106,0.000241,0.001117,0.000161,0.000792,0.000491,0.000177,0.000403,0.000821
744,0.52518,0.000230,0.000340,0.000533,0.000134,0.000241,0.000823,0.000108,0.000346,0.000943,0.000173,0.001723,0.000456,0.000151,0.000418,0.000646
745,0.52462,0.000247,0.000215,0.000598,0.000115,0.000321,0.000681,0.000549,0.001564,0.000948,0.000187,0.000239,0.000572,0.000132,0.000444,0.000813
746,0.52406,0.000197,0.000277,0.000620,0.000138,0.000242,0.001004,0.000138,0.000708,0.001159,0.000274,0.000218,0.000486,0.000133,0.000510,0.000728
747,0.52349,0.000213,0.000271,0.000605,0.000134,0.000244,0.000695,0.000131,0.001390,0.000693,0.000149,0.000215,0.000441,0.000130,0.000585,0.000520
748,0.52293,0.000226,0.000336,0.000641,0.000114,0.000320,0.000765,0.000319,0.001742,0.000462,0.000129,0.000235,0.000511,0.000138,0.000339,0.000462
749,0.52237,0.000212,0.000209,0.000596,0.000540,0.000464,0.000618,0.000181,0.000387,0.000450,0.000127,0.000209,0.000530,0.000129,0.000445,0.000469
750,0.52182,0.000218,0.000243,0.000524,0.000510,0.000248,0.001807,0.000364,0.000250,0.000446,0.000136,0.000215,0.000463,0.000136,0.000358,0.000516
751,0.52126,0.000214,0.000307,0.001822,0.001389,0.000318,0.001115,0.000173,0.000330,0.000439,0.000140,0.000209,0.000422,0.000145,0.000698,0.000778
752,0.52070,0.000184,0.000242,0.000533,0.000163,0.000220,0.000749,0.000134,0.000440,0.000458,0.000141,0.000213,0.000582,0.000134,0.000371,0.000479
753,0.52014,0.000179,0.000606,0.000483,0.000186,0.000252,0.000600,0.000158,0.000303,0.000532,0.000146,0.000215,0.000966,0.000140,0.000365,0.000586
754,0.51959,0.000189,0.000250,0.000583,0.000182,0.000216,0.000620,0.000108,0.000282,0.000646,0.000134,0.000202,0.000866,0.000135,0.000355,0.000440
755,0.51903,0.000198,0.000212,0.000539,0.000188,0.000221,0.000596,0.000117,0.000282,0.000569,0.000137,0.000205,0.000839,0.000141,0.000355,0.000487
756,0.51847,0.000352,0.000396,0.000551,0.000200,0.000268,0.000643,0.000107,0.000269,0.000500,0.000134,0.000205,0.000738,0.000140,0.000399,0.000416
757,0.51792,0.000163,0.001485,0.000523,0.000222,0.000260,0.000604,0.000120,0.000298,0.000476,0.000141,0.000200,0.001674,0.000131,0.000413,0.000430
758,0.51737,0.000220,0.000382,0.000496,0.000212,0.000387,0.000585,0.000117,0.000383,0.000503,0.000157,0.000193,0.000804,0.000136,0.000245,0.000467
759,0.51681,0.000195,0.000379,0.000561,0.000220,0.000305,0.000601,0.000125,0.000238,0.000414,0.000163,0.000194,0.000608,0.000139,0.000245,0.000431
760,0.51626,0.000182,0.000389,0.000640,0.000199,0.000376,0.000625,0.000128,0.000250,0.000672,0.000135,0.000198,0.000676,0.000158,0.000339,0.000415
761,0.51571,0.000202,0.000351,0.000854,0.000213,0.000358,0.000721,0.000126,0.000369,0.001195,0.000110,0.000198,0.000726,0.000143,0.000501,0.000449
762,0.51516,0.000302,0.001722,0.000629,0.000192,0.000334,0.000757,0.000121,0.000216,0.000969,0.000135,0.000194,0.000619,0.000127,0.000313,0.000457
763,0.51461,0.000122,0.000323,0.000544,0.000474,0.000315,0.000661,0.000129,0.000354,0.000811,0.000121,0.000198,0.000506,0.000143,0.000229,0.000421
764,0.51406,0.000235,0.000314,0.000531,0.001148,0.000316,0.000938,0.000125,0.000237,0.000849,0.000123,0.000207,0.000487,0.000161,0.000244,0.000407
765,0.51351,0.000171,0.000374,0.000590,0.000278,0.000344,0.000684,0.000125,0.000267,0.001128,0.000127,0.000190,0.000478,0.000153,0.000255,0.000438
766,0.51297,0.000127,0.000294,0.000632,0.000164,0.000350,0.000638,0.000124,0.000330,0.000779,0.000145,0.000198,0.000474,0.000523,0.000240,0.000440
767,0.51242,0.000122,0.000250,0.000801,0.000141,0.000608,0.000701,0.000131,0.000324,0.000656,0.000157,0.000766,0.000475,0.000183,0.000243,0.000721
768,0.51187,0.000120,0.000242,0.000505,0.000143,0.001370,0.000732,0.000131,0.000239,0.000552,0.000132,0.000226,0.000485,0.000189,0.000240,0.000793
769,0.51133,0.000107,0.000248,0.001033,0.000136,0.001135,0.000675,0.000125,0.000244,0.000446,0.000128,0.000243,0.000484,0.000116,0.000266,0.000835
770,0.51078,0.000109,0.000246,0.005776,0.000138,0.000336,0.000757,0.000120,0.000340,0.000462,0.000463,0.000719,0.000477,0.000145,0.000225,0.001616
771,0.51024,0.000109,0.000243,0.008731,0.000187,0.000267,0.000799,0.000491,0.000252,0.000999,0.000126,0.000337,0.000519,0.000137,0.000235,0.001698
772,0.50969,0.000111,0.000243,0.000640,0.000123,0.000243,0.000860,0.000131,0.000223,0.000696,0.000135,0.000444,0.000477,0.000117,0.000236,0.000601
773,0.50915,0.000127,0.000333,0.000652,0.000110,0.000238,0.000949,0.001853,0.000287,0.000613,0.000151,0.000382,0.000468,0.000115,0.000237,0.000535
774,0.50861,0.000131,0.000449,0.000634,0.000119,0.000227,0.000847,0.000284,0.000240,0.000501,0.000207,0.000405,0.000484,0.000127,0.000242,0.000518
775,0.50807,0.000160,0.000372,0.000636,0.000142,0.000235,0.000893,0.000260,0.000347,0.000544,0.000234,0.000370,0.000475,0.000123,0.000262,0.000527
776,0.50753,0.000117,0.000370,0.000629,0.000117,0.000231,0.000861,0.000264,0.000228,0.000500,0.000415,0.000389,0.000470,0.000119,0.000267,0.000518
777,0.50699,0.000123,0.000322,0.000666,0.000131,0.000294,0.000821,0.001159,0.000248,0.000547,0.001191,0.000345,0.000458,0.000122,0.000227,0.000533
778,0.50645,0.000129,0.000212,0.000682,0.000119,0.000216,0.000764,0.000187,0.000372,0.000807,0.000254,0.000384,0.000420,0.000124,0.000293,0.000501
779,0.50591,0.000136,0.000308,0.000672,0.000111,0.000217,0.000762,0.000622,0.000220,0.000559,0.000244,0.001126,0.000651,0.000115,0.000223,0.000507
780,0.50537,0.000128,0.000234,0.000652,0.000118,0.000231,0.001038,0.000220,0.000249,0.000499,0.000257,0.001078,0.001119,0.000114,0.000256,0.000510
781,0.50483,0.000127,0.000277,0.000882,0.000141,0.000245,0.000679,0.000175,0.000221,0.000478,0.000254,0.000430,0.001906,0.000133,0.000201,0.000472
782,0.50430,0.000126,0.000255,0.000679,0.000126,0.000249,0.000887,0.000156,0.000255,0.000499,0.000338,0.000278,0.001036,0.000128,0.000228,0.000460
783,0.50376,0.000131,0.000238,0.000704,0.000110,0.000228,0.000823,0.000156,0.000237,0.000497,0.000250,0.000374,0.000930,0.000123,0.000234,0.000447
784,0.50323,0.000131,0.000244,0.000596,0.000140,0.000221,0.001266,0.000178,0.000616,0.000499,0.000283,0.000279,0.000990,0.000317,0.000232,0.000450
785,0.50269,0.000841,0.000251,0.000883,0.000142,0.000220,0.000660,0.000184,0.000300,0.000819,0.000259,0.000239,0.000995,0.000161,0.000227,0.000450
786,0.50216,0.000266,0.000259,0.000747,0.000114,0.000220,0.001539,0.000157,0.002137,0.000793,0.000215,0.000287,0.000908,0.000164,0.000231,0.000440
787,0.50162,0.000150,0.000299,0.000800,0.000119,0.000238,0.000795,0.000160,0.000806,0.000813,0.000240,0.000238,0.000809,0.000136,0.000232,0.000459
788,0.50109,0.000187,0.000259,0.000784,0.000126,0.000234,0.000716,0.000181,0.000448,0.000772,0.000298,0.000243,0.000919,0.000140,0.000250,0.000491
789,0.50056,0.000151,0.000269,0.000795,0.000115,0.000228,0.000788,0.000313,0.000356,0.000711,0.000255,0.000302,0.000909,0.000138,0.000708,0.000462
790,0.50003,0.000154,0.000251,0.000845,0.000116,0.000282,0.000826,0.000120,0.000278,0.000917,0.000258,0.000260,0.000821,0.000140,0.000426,0.000438
791,0.49950,0.000152,0.000255,0.000783,0.000141,0.000216,0.000796,0.000135,0.000340,0.000780,0.000220,0.000251,0.000558,0.000139,0.000396,0.000439
792,0.49897,0.000152,0.000241,0.000753,0.000123,0.000215,0.000570,0.000128,0.000330,0.000718,0.000286,0.000219,0.000892,0.000136,0.000315,0.000437
793,0.49844,0.000151,0.000270,0.000823,0.001262,0.000251,0.000691,0.000132,0.000378,0.000563,0.000149,0.000239,0.000563,0.000140,0.000299,0.000447
794,0.49791,0.000156,0.000228,0.000817,0.000129,0.000216,0.000635,0.000133,0.000318,0.001472,0.000146,0.000244,0.000777,0.000139,0.000392,0.000833
795,0.49739,0.000155,0.000311,0.000857,0.000110,0.000220,0.000617,0.000131,0.000211,0.000669,0.000183,0.000241,0.000585,0.000124,0.000431,0.000812
796,0.49686,0.000178,0.000257,0.000997,0.000106,0.000227,0.000670,0.000123,0.000230,0.001831,0.000111,0.000256,0.000716,0.000136,0.000468,0.000667
797,0.49633,0.000161,0.000252,0.000889,0.000103,0.000220,0.000703,0.000122,0.000252,0.000949,0.000126,0.000247,0.000727,0.000142,0.001063,0.000525
798,0.49581,0.000162,0.000253,0.000776,0.000097,0.000224,0.000768,0.000124,0.000248,0.001399,0.000159,0.000258,0.000709,0.000128,0.000357,0.000898
799,0.49528,0.000164,0.000272,0.000838,0.000114,0.000274,0.001256,0.000121,0.000352,0.000535,0.000127,0.000275,0.000986,0.000140,0.000446,0.001511
800,0.49476,0.000160,0.000221,0.000892,0.000156,0.000236,0.000765,0.000118,0.000249,0.000528,0.000151,0.000268,0.000661,0.000137,0.000326,0.000820
801,0.49424,0.000393,0.000559,0.000899,0.000306,0.000335,0.001173,0.000394,0.000396,0.000732,0.000393,0.000388,0.000884,0.000202,0.000572,0.000922
802,0.49371,0.000163,0.000418,0.000825,0.000116,0.000243,0.001307,0.000133,0.000241,0.000585,0.000133,0.000247,0.000999,0.000155,0.000299,0.000507
803,0.49319,0.000161,0.000437,0.000735,0.000130,0.000353,0.000619,0.000117,0.000313,0.000553,0.000114,0.000247,0.000846,0.000135,0.000338,0.000484
804,0.49267,0.000172,0.000490,0.000792,0.000135,0.000277,0.000888,0.000111,0.000245,0.000875,0.000151,0.000360,0.000815,0.000141,0.000401,0.000489
805,0.49215,0.000175,0.000436,0.000788,0.000135,0.000279,0.000816,0.000122,0.000351,0.000680,0.000125,0.000291,0.000792,0.000138,0.000386,0.000615
806,0.49163,0.000173,0.000361,0.000775,0.000156,0.000270,0.000859,0.000124,0.000228,0.001051,0.000179,0.000291,0.000898,0.000136,0.000331,0.000590
807,0.49111,0.000172,0.000490,0.001293,0.000147,0.000273,0.001190,0.000119,0.000369,0.000687,0.000139,0.000229,0.001344,0.000127,0.000234,0.000511
808,0.49059,0.000173,0.000457,0.000664,0.000121,0.000270,0.000562,0.000123,0.000214,0.000909,0.000136,0.000299,0.000721,0.000136,0.000228,0.000476
809,0.49007,0.000174,0.001891,0.000945,0.000109,0.000273,0.000660,0.000102,0.000263,0.001253,0.000135,0.000266,0.000710,0.000471,0.000227,0.000576
810,0.48956,0.000171,0.000681,0.000728,0.000117,0.000340,0.000771,0.000260,0.000398,0.000736,0.000112,0.000269,0.000656,0.000162,0.000219,0.000414
811,0.48904,0.000171,0.000477,0.000756,0.000112,0.000605,0.001097,0.000120,0.000219,0.003082,0.000131,0.000268,0.000632,0.000384,0.000241,0.000655
812,0.48853,0.000171,0.000486,0.000741,0.000106,0.001100,0.001409,0.000114,0.000310,0.000791,0.000136,0.000249,0.000621,0.001660,0.000213,0.000674
813,0.48801,0.000512,0.000430,0.000778,0.000114,0.000723,0.000748,0.000121,0.000248,0.000670,0.000130,0.000289,0.000576,0.001298,0.000212,0.000693
814,0.48750,0.000155,0.000341,0.000904,0.000126,0.002261,0.000648,0.000119,0.000281,0.001134,0.000134,0.000248,0.000736,0.000163,0.000220,0.000658
815,0.48698,0.000176,0.000265,0.000695,0.000118,0.000483,0.000581,0.000113,0.000379,0.001603,0.000158,0.000793,0.000690,0.001282,0.000229,0.000656
816,0.48647,0.000185,0.000486,0.000757,0.000120,0.000269,0.000617,0.000124,0.000212,0.000689,0.000148,0.000457,0.000661,0.000263,0.000237,0.000795
817,0.48596,0.000175,0.000460,0.000794,0.000126,0.000233,0.001334,0.000112,0.000249,0.000587,0.000124,0.000402,0.000632,0.000251,0.000292,0.000813
818,0.48545,0.000175,0.000254,0.000663,0.000120,0.000243,0.000669,0.000112,0.000367,0.000568,0.000160,0.001414,0.000647,0.000348,0.000256,0.000846
819,0.48493,0.000265,0.000421,0.000596,0.000131,0.000256,0.001148,0.000116,0.000289,0.000611,0.000112,0.000448,0.000646,0.000141,0.000225,0.000817
820,0.48442,0.000194,0.000368,0.000587,0.000141,0.000243,0.001539,0.000117,0.001072,0.000511,0.000126,0.000371,0.000650,0.000144,0.001571,0.001088
821,0.48391,0.000221,0.000312,0.000592,0.000132,0.000260,0.001298,0.000067,0.000293,0.000534,0.000145,0.000445,0.000640,0.000130,0.000568,0.001137
822,0.48341,0.001400,0.000446,0.000568,0.000130,0.000263,0.000847,0.000113,0.000275,0.000658,0.000135,0.000290,0.000657,0.000126,0.000466,0.001272
823,0.48290,0.000171,0.000252,0.000570,0.000168,0.000261,0.000767,0.000144,0.000268,0.001218,0.000136,0.000367,0.000840,0.000132,0.000274,0.000866
824,0.48239,0.000192,0.000260,0.000637,0.000134,0.000259,0.002726,0.000111,0.000360,0.001049,0.000148,0.000461,0.000880,0.000138,0.000278,0.000839
825,0.48188,0.000208,0.000395,0.000690,0.000126,0.000258,0.000980,0.000110,0.000214,0.000763,0.000135,0.000287,0.000936,0.000126,0.000283,0.000653
826,0.48138,0.000313,0.000388,0.000705,0.000116,0.000281,0.000638,0.000118,0.000292,0.001397,0.000131,0.000441,0.000974,0.000127,0.000297,0.000534
827,0.48087,0.000227,0.000673,0.000712,0.000125,0.000276,0.001012,0.000110,0.000245,0.001174,0.000121,0.000292,0.001117,0.000132,0.000222,0.000598
828,0.48037,0.000218,0.000255,0.000732,0.000113,0.000268,0.000668,0.000117,0.000636,0.001054,0.000152,0.000510,0.000863,0.000130,0.000282,0.000529
829,0.47986,0.000261,0.000459,0.000740,0.000109,0.000265,0.000643,0.000111,0.000220,0.001007,0.000136,0.000272,0.004991,0.000133,0.000285,0.000624
830,0.47936,0.000227,0.000442,0.000703,0.000109,0.000272,0.000617,0.000113,0.000385,0.001136,0.000143,0.000256,0.002243,0.000136,0.000379,0.000604
831,0.47886,0.000461,0.000225,0.000745,0.000111,0.000269,0.000658,0.000161,0.000393,0.000955,0.000133,0.000233,0.001284,0.000131,0.000284,0.000810
832,0.47835,0.000207,0.000384,0.000740,0.000128,0.000265,0.000760,0.000128,0.000430,0.000837,0.000116,0.000290,0.000793,0.000132,0.000268,0.000674
833,0.47785,0.000196,0.000350,0.000850,0.000118,0.000266,0.000736,0.000114,0.000449,0.000687,0.000146,0.000258,0.005006,0.000139,0.000216,0.000624
834,0.47735,0.000197,0.000301,0.000802,0.000121,0.000398,0.000679,0.000111,0.000410,0.000975,0.000132,0.000288,0.000653,0.000134,0.000520,0.000642
835,0.47685,0.000186,0.000251,0.000756,0.000129,0.000477,0.000600,0.000113,0.000394,0.001405,0.000133,0.000323,0.001009,0.000135,0.000382,0.000476
836,0.47635,0.000185,0.000333,0.000702,0.000130,0.000312,0.000587,0.000118,0.001879,0.001833,0.000134,0.000624,0.000985,0.000129,0.000859,0.000457
837,0.47585,0.000173,0.000302,0.000784,0.000452,0.000274,0.000646,0.000119,0.000783,0.000789,0.000112,0.000295,0.000877,0.000148,0.000402,0.000453
838,0.47535,0.000184,0.000290,0.000760,0.000151,0.000259,0.001293,0.000109,0.000319,0.001113,0.000126,0.000259,0.000741,0.000135,0.000360,0.000449
